product_name,brand,calories,fat,sugar,salt,protein,fiber,carbs
20-20,Parle,482,18.6,24.1,0.6,6.7,,71.9
Happy happy biscuit - Parle - Parle,Parle,489,20.1,31,0,5.5,0,71.5
Hide & Seek,Parle,470,18.6,32.5,0.285,5.9,,73.4
Krackjack,Parle,489,19.9,19.6,0.9275,,,70.5
MONACO,Parle,492,20.9,8.4,0,7.9,0,68
parle,Parle,454,13,25.5,0.74,6.9,,77.3
Parle 20-20 Cookies,Parle,480,20,24,0.6,6,1.8,66
Parle Bis Hide &seek,Parle,161.3,3.3,29.6,0.455,3,,29.7
Parle g 800 g,Parle,,,,,,,
Parle G biscuit,Parle,3.4,13,25.5,0,6.9,0,77.3
parle hide & seek 120g,PARLE,479,18,32.2,0,5.9,0,73.4
PARLE hide&seek400g,Parle,480,18.3,32.6,0.285,5.8,,73.1
Parle Krackjack,Parle,470,18,20,0.7,7,2,67
Parle Marie Gold,Parle,430,10,18,0.8,8,2,76
Parle Monaco Biscuits,Parle,480,20,10,1,7,2,66
Parle-G biscuits,Parle,450,13,22,0.6,7,1.5,72
Biscuit,Parle G,,,,,,,
Doodh Biscuits,Patanjali,468,17,24,0.8725,7.2,6,72
Kurkure Chilli Chatka,PepsiCo,545,35,5,1.9,6,3,51
Kurkure Masala Munch,PepsiCo,540,34,5,1.8,6,3,52
Kurkure Solid Masti,PepsiCo,550,36,5,2,6,3,50
Lay's Chile Limon,PepsiCo,540,34,2,1.2,6,4,53
Lay's Classic Salted,PepsiCo,540,34,1,1.2,6,4,53
Lay's Magic Masala,PepsiCo,545,35,2,1.3,6,4,52
Lays 20rs,PepsiCo,537,33.1,3.4,1.6075,6.7,,53
Uncle Chipps Spicy Treat,PepsiCo,535,33,2,1.1,6,4,54
Bourbon Dark Fantasy Biscuit,Sunfeast,479,18.2,36.4,0.233,5.4,,73.5
Dark Fantasy,Sunfeast is sold by ITC Limited,507,27.3,35.7,0.45375,7.3,,61.1
Tata Salt,Tata,0,0,0,100,0,0,0
Tata Sampann Masala Oats,Tata,390,8,4,1.2,11,10,66
Tata Tea Gold Instant Tea,Tata,2,0,0,0.01,0.3,0,0.2
balaji wafers tomato twist,Unknown,556,33.8,6,1727.5,6.5,,53.5
Dark fantasy bourbon,Unknown,,,,,,,
Flaming hot nachos,Unknown,557,30.9,0.1,1.79,9,,57
Good day 5rs,Unknown,,,,,,,
Masala munch,Unknown,558,34.6,1,2.23,6.4,,55.2
Patanjali,Unknown,,,,,,,
Plantain Chips (Yellow Banana Chips),Unknown,535.714,28.5714,0,2.19643,3.57143,3.57143,64.2857
Puffcorn,Unknown,555,34.5,1,2.23,6,,56.2
Tedhe Medhe - Bingo,Unknown,546,32.8,1.7,1.846,5.5,,57.3
Wafers,Unknown,553,32.8,4.6,1.31,7.6,,54
